coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,baseline
0.83625,1.0,1.0,1,515,103.99999999999763,74.25000000000146,60.87500000000187,58.65000000000183,0,0,1015,0,8,8,14,0.13398058252427184,all_targets_inspected,300,300,0,342.12962946319493,300,1,0,uniform,400.0,hierarchical_task_allocation
0.835625,0.875,0.875,0,1000,156.85000000000085,50.00000000000284,46.57500000000177,46.400000000001796,0,7,1781,0,7,7,13,0.5543333333333333,max_steps_reached,1109,1109,0,189.28239912807612,1109,1,1,uniform,400.0,hierarchical_task_allocation
0.725625,1.0,1.0,1,424,96.69999999999833,78.8000000000012,62.25000000000189,61.0500000000019,0,0,839,0,8,8,13,0.08726415094339622,all_targets_inspected,145,145,0,314.92635123702024,145,1,2,uniform,400.0,hierarchical_task_allocation
0.845625,1.0,1.0,1,608,131.99999999999667,69.60000000000173,49.200000000001765,44.500000000001734,0,0,1213,0,8,8,15,0.2582236842105263,all_targets_inspected,235,235,0,370.84847463897,235,1,3,uniform,400.0,hierarchical_task_allocation
0.8475,0.875,0.875,0,1000,181.0500000000002,50.00000000000284,34.47500000000163,33.85000000000165,0,0,1787,0,7,7,20,0.548,max_steps_reached,822,822,0,272.82597841549307,822,1,4,uniform,400.0,hierarchical_task_allocation
0.848125,1.0,1.0,1,580,127.59999999999673,71.00000000000165,50.70000000000174,49.20000000000168,0,0,1218,0,8,8,19,0.22011494252873562,all_targets_inspected,229,229,0,402.561598933904,229,1,5,uniform,400.0,hierarchical_task_allocation
0.849375,0.875,0.875,0,1000,165.9500000000009,50.00000000000284,42.02500000000167,37.80000000000168,0,0,2124,0,7,7,15,0.547,max_steps_reached,958,958,0,276.8607647366667,958,1,6,uniform,400.0,hierarchical_task_allocation
0.84,0.75,0.75,0,1000,168.20000000000147,50.00000000000284,40.90000000000171,40.65000000000165,0,0,2184,0,6,6,9,0.552,max_steps_reached,963,963,0,270.2451701957145,963,1,7,uniform,400.0,hierarchical_task_allocation
0.845625,0.75,0.75,0,1000,174.90000000000106,50.00000000000284,37.55000000000171,28.800000000001553,0,0,2244,0,6,6,9,0.549,max_steps_reached,861,861,0,134.4305855046579,861,1,8,uniform,400.0,hierarchical_task_allocation
0.8525,0.875,0.875,0,1000,171.35000000000133,50.00000000000284,39.32500000000173,38.150000000001725,0,0,2009,0,7,7,15,0.5453333333333333,max_steps_reached,884,884,0,239.72925117198818,884,1,9,uniform,400.0,hierarchical_task_allocation
